search_date,database,query_name,exact_query,filters,results_count,citation_key,title,authors,year,journal_or_source,doi_or_url,source_type,domain,study_type,setting,objective,methods_or_approach,key_findings,relevance_to_paper1,manuscript_role,quotable_claim,limitations,gap_left_open,supports_problem_statement,supports_method_framing,supports_interoperability_angle,priority,screening_decision,status,tags,notes
2026-05-31,Google Scholar / PubMed,A1-DIS-Systematic-Review,syphilis DIS disease intervention specialist systematic review partner services effectiveness 2024,English; humans,30 included,peterman_2024_dis_systematic_review,"Disease Intervention Specialist-Delivered Interventions and Other Partner Services for HIV and Sexually Transmitted Infections: A Systematic Review","Peterman TA et al.",2024,American Journal of Preventive Medicine,https://pmc.ncbi.nlm.nih.gov/articles/PMC11663095/,Journal,A - Syphilis / DIS / Partner Services,Systematic review,Partner services / case management,Summarize effectiveness of DIS-delivered partner services for HIV and STIs; identify evidence gaps,Systematic review; 1915 records screened; 30 included; MEDLINE / Web of Science / CINAHL / ProQuest through Dec 2022,"DIS-delivered interventions improved clinical outcomes among index patients and population outcomes; many studies measured process outcomes rather than population-level epidemiologic outcomes; evidence strength mostly low or medium",Anchors the claim that DIS partner services are a recognized evidence-based practice with demonstrated but hard-to-measure effectiveness — motivates need for more standardized analytic tools,Intro / background,"DIS-delivered interventions improved clinical outcomes among index patients and population outcomes",Most studies focused on process measures rather than population-level epidemiologic outcomes; most studies low/medium evidence strength,No studies evaluate computational or analytical aids to DIS workflow,TRUE,FALSE,FALSE,High,Include,Abstracted,"partner-services;DIS;systematic-review;problem-framing","Corrected: published in American Journal of Preventive Medicine not AJPH"
2026-05-31,PubMed,A2-DIS-On-Site-Outcomes,partner notification outcomes disease intervention specialist STD clinic PLOS One 2018,English; humans,1 primary,hurt_2018_dis_onsite_clinic,"Partner notification outcomes after integration of an on-site disease intervention specialist at a sexually transmitted disease clinic","Hurt CB, Torrone E, Rosen D, Sena AC, Schoenbach VJ, Leone PA",2018,PLOS One,https://doi.org/10.1371/journal.pone.0194041,Journal,A - Syphilis / DIS / Partner Services,Implementation evaluation,STD clinic (Rhode Island),Assess impact of on-site DIS integration on partner notification outcomes for syphilis and gonorrhea,Pre/post comparison at Rhode Island STD Clinic Aug 2014–Dec 2015; 145 index patients (58 pre / 87 post DIS),"DIS integration increased interview rate from 76% to 92%; same-day interviews from 61% to 85%; in-person at clinic from 11% to 64%",Concrete empirical example showing DIS placement decisions affect investigation completeness — motivates need for tools to support DIS efficiency and coverage,Intro / background,"DIS integration resulted in a significantly greater proportion of index patients interviewed overall (92% versus 76%), on the day of diagnosis (85% versus 61%)",Single clinic; short observation window; not syphilis-only outcome data,Does not address the analytical reasoning or source-spread determination step,TRUE,FALSE,FALSE,High,Include,Abstracted,"partner-services;DIS;case-investigation;problem-framing",""
2026-05-31,PubMed / CDC Stacks,A3-Partner-Notification-Effectiveness,"effectiveness syphilis partner notification ""brought to treatment"" 7 jurisdictions 2022",English; US data only,1 primary,peterman_2022_pn_effectiveness,"Effectiveness of Syphilis Partner Notification After Adjusting for Treatment Dates, 7 Jurisdictions","Peterman TA, Schillinger JA, Blank S, et al.",2022,Sexually Transmitted Diseases,https://pubmed.ncbi.nlm.nih.gov/34310526/,Journal,A - Syphilis / DIS / Partner Services,Observational / surveillance analysis,Multi-jurisdictional US public health,Evaluate partner notification effectiveness using treatment-timing-adjusted metrics,23613 early syphilis patients in 7 US jurisdictions 2015–2017; analysis of interview-to-treatment timing,"11.3% of partners brought to treatment within 90 days of patient interview; effectiveness higher when patient interviewed ≤7 days from diagnosis; highlights measurement challenges",Quantifies the operational limits of current partner notification — grounds the need for tools that support more complete and timely investigation,Background / problem framing,"Treatment of one or more partners occurred after 9.0% of interviews … more likely if … interviewed 7 or fewer days from diagnosis",Multi-jurisdictional but not nationally representative; timing adjustments complex; partner recall subject to reporting biases,No computational or decision-support tools to accelerate or standardize investigation timing,TRUE,FALSE,FALSE,High,Include,Abstracted,"partner-services;syphilis;effectiveness;problem-framing",""
2026-05-31,NCSDDC Website,A4-VCA-Training,visual case analysis syphilis source spread ghosting methodology NCSDDC 2022,Grey literature,1 primary,ncsddc_2022_vca_training,"Visual Case Analysis (VCA) Training","Emily Fussell (presenter); National Coalition of STD Directors (NCSDDC)",2022,NCSDDC Training Materials,https://www.ncsddc.org/wp-content/uploads/2022/07/VCA-Training-7.2022.pdf,Grey literature / training document,A - Syphilis / VCA / Partner Services,Training / methods description,STI case investigation / disease intervention,Teach VCA ghosting methodology to DIS; define source/spread/ghosting hierarchy and lesion window construction,Manual multi-step visual plotting process: symptom onset → ghosted source window → ghosted spread window → exposure overlap evaluation → verdict determination,"Defines source vs spread narrative; describes ghosting hierarchy (existing/historical/ghosted chancre); operationalizes natural history constants (incubation 10–90 days; primary 7–35 days; latency 0–70 days; secondary 14–42 days); VCA creates 'the how and why' while documenting who/what/when/where; criteria for related cases: infectious/compatible/reasonable; cites NACCHO VCA chart (VCA-Final.png) as visual reference; notes contact tracing first used for syphilis in 1930s; renamed 'partner services' per 2008 CDC MMWR",Primary reference for the VCA methodology this engine implements — essential background citation for every major paper section; confirms VCA provenance traces through NACCHO to CDC 1992 training document,Background / methods framing / methods description,"VCA is a critical tool to understand how syphilis moves through sexual networks — necessary skill for all DIS to interrupt the chain of transmission",Manual and expert-driven; not formally published in peer-reviewed literature; may not be accessible post-NCSDDC reorganization; training slide deck only — no validation data or inter-rater reliability assessment,VCA methodology exists only in training/manual form — no computable or standardized implementation described; provenance traces to CDC 1992 document not yet located,TRUE,TRUE,FALSE,High,Include,Abstracted,"VCA;ghosting;syphilis;partner-services;methods-framing;background","PRIMARY reference for paper. Author confirmed: Emily Fussell. Cites NACCHO chart — track down NACCHO original. Provenance chain: CDC 1992 → NACCHO → NCSDDC/Fussell 2022. Archive/save copy urgently."
2026-05-31,PubMed / Google Scholar,A5-Changing-Role-DIS,changing role disease intervention specialist modern public health programs Cope 2019,English,1 primary,cope_2019_changing_role_dis,"The Changing Role of Disease Intervention Specialists in Modern Public Health Programs","Cope AB, Mobley VL, Samoff E, O'Connor K, Peterman TA",2019,Public Health Reports,https://journals.sagepub.com/doi/full/10.1177/0033354918813549,Journal,A - Syphilis / DIS / Partner Services,Commentary / policy analysis,US public health / STI programs,Describe evolving DIS role with expanding STI burden and new disease contexts (COVID-19 era),Review of DIS program scope and adaptability across STI and infectious disease contexts,DIS roles increasingly include HIV and COVID-19 alongside syphilis; programs under capacity strain; need for tools that improve efficiency highlighted,Supports argument that DIS workforce faces growing burden — motivates computational tools to standardize and augment investigation,Intro / background,DIS are the backbone of the public health response to syphilis and STI outbreaks; their role has expanded without proportional resource increase,Written before COVID peak; may not reflect post-pandemic workforce state,Does not evaluate analytic or computational decision support,TRUE,FALSE,FALSE,Medium,Include,To abstract,"DIS;partner-services;workforce;problem-framing",""
2026-05-31,PubMed / Semantic Scholar,B1-PHI-Yasnoff-2000,public health informatics definition Yasnoff O'Carroll 2000 Journal Public Health Management Practice,English,1 primary,yasnoff_2000_phi_definition,"Public Health Informatics: Improving and Transforming Public Health in the Information Age","Yasnoff WA, O'Carroll PW, Koo D, Linkins RW, Kilbourne EM",2000,Journal of Public Health Management and Practice,https://pubmed.ncbi.nlm.nih.gov/18019962/,Journal,B - Public Health Informatics / Decision Support,Commentary / definitional / framework,Public health informatics field,Define PHI and distinguish it from clinical informatics; articulate the field's scope,Conceptual / definitional analysis of PHI as a discipline,PHI defined as the systematic application of information and computer science and technology to public health practice; focus on prevention in populations vs individual patient care; operates in governmental context,Foundational definition paper — provides the disciplinary home for the VCA ghosting engine as a PHI artifact; citable for every claim that the engine is a PHI contribution,Background / methods framing,"Public health informatics [is] the systematic application of information and computer science and technology to public health practice, research, and learning",Early foundational paper — does not address current AI/ML or computational epidemiology methods; predates FHIR,Does not address operational workflow standardization or computable reasoning engines,FALSE,TRUE,FALSE,High,Include,Abstracted,"public-health-informatics;definition;methods-framing;background","Canonical PHI definition citation. Companion: Shortliffe & Cimino for biomedical informatics context."
2026-05-31,CDC / MMWR,B2-CDC-MMWR-PHI-Surveillance,role public health informatics enhancing surveillance MMWR 2012 CDC,Grey literature,1 primary,cdc_2012_phi_surveillance,"The Role of Public Health Informatics in Enhancing Public Health Surveillance","Thacker SB, Qualters JR, Lee LM; Centers for Disease Control and Prevention",2012,MMWR Supplements,https://www.cdc.gov/mmwr/preview/mmwrhtml/su6103a5.htm,Grey literature / CDC report,B - Public Health Informatics / Decision Support,Commentary / surveillance methods,Public health surveillance systems,Describe how PHI can enhance the design and use of public health surveillance systems,Review of surveillance informatics concepts; integration of EHR data; decision support in surveillance,Challenges include combining multiple sources into actionable knowledge; healthcare situational awareness can improve clinical and public health decision-making; decision support can make surveillance actionable,Articulates exactly the kind of informatics gap the VCA engine addresses — surveillance-actionable decision support for case investigation,Background / surveillance context,"Healthcare 'situational awareness' — real-time information about the local, regional and national incidence of disease — has the potential to improve clinical decision-making",2012 paper; pre-FHIR maturity; limited discussion of computable rule-based engines specifically,Does not address computable analytical engines for individual case investigation,FALSE,TRUE,FALSE,High,Include,Abstracted,"public-health-informatics;surveillance;decision-support;background","Good anchor for the PHI background section"
2026-05-31,PLOS Digital Health / PubMed,B3-Explainability-CDSS,explainability clinical decision support AI rule-based versus black-box PLOS digital health 2022,English,1 primary,amann_2022_explain_cdss,"To explain or not to explain?—Artificial intelligence explainability in clinical decision support systems","Amann J, Blasimme A, Vayena E, Frey D, Madai VI; Precise4Q Consortium",2022,PLOS Digital Health,https://doi.org/10.1371/journal.pdig.0000016,Journal,B - Public Health Informatics / Decision Support,Review / framework analysis,Clinical / public health decision support,Evaluate when and whether explainability adds value to AI-powered clinical decision support systems,Normative analysis using socio-technical scenarios applied to an emergency cardiac arrest CDSS,Explainability value depends on technical feasibility; whether explainability enables trust; the system's designated role in decision-making; inherently interpretable models ('ante hoc') vs post-hoc explanations,Provides language to position the VCA engine as an inherently interpretable rule-based system — a design advantage over black-box approaches for public health adoption,Methods framing / discussion,"Whether explainability can provide added value to CDSS depends on … the level of validation … the characteristics of the context … and the key user group(s)",Applied to a single cardiac arrest case; not a public health or surveillance context; limited empirical validation,Does not address rule-based engines in public health case investigation,FALSE,TRUE,FALSE,High,Include,Abstracted,"explainability;decision-support;rule-based;methods-framing","Use to contrast engine explainability advantage vs black-box ML approaches"
2026-05-31,PubMed / NCBI Bookshelf,B4-Syphilis-Natural-History,syphilis natural history incubation primary secondary clinical constants peer reviewed,English; clinical,Multiple,hook_2020_syphilis_statpearls,"Syphilis","Trifuljak S, Kaur T (StatPearls)",2023,StatPearls / NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK534780/,Reference / textbook chapter,B - Public Health Informatics / Decision Support; A - Syphilis,Clinical review,Clinical / epidemiology,Describe syphilis natural history including incubation and disease stage durations,Clinical review of T. pallidum infection natural history,"Incubation 10–90 days (median 21 days); primary chancre lasts 2–6 weeks; secondary syphilis begins 2–24 weeks after primary lesions heal; transmitted via direct contact with active primary or secondary lesions; 16–30% transmission per sexual contact with infected person",Ground truth for the clinical constants implemented in the engine; validates the specific numeric values used,Methods framing / background,"The primary chancre develops an average of 3 weeks after exposure; the incubation period ranges between 10 and 90 days",Living review; updates may change cited values; secondary source (review),Does not provide computational operationalization of disease windows,TRUE,TRUE,FALSE,High,Include,Abstracted,"syphilis;natural-history;clinical-constants;methods-framing","Companion: PMC10211027 (incubation period focused paper) for additional specificity"
2026-05-31,PubMed,C1-Sexual-Networks-NC,sexual networks surveillance geographical space syphilis outbreaks rural North Carolina 2012,English; humans,1 primary,doherty_2012_sexual_networks_nc,"Sexual Networks, Surveillance, and Geographical Space during Syphilis Outbreaks in Rural North Carolina","Doherty IA, Serre ML, Gesink D, Adimora AA, Miller WC",2012,Epidemiology,https://pubmed.ncbi.nlm.nih.gov/23007041/,Journal,C - Surveillance / Transmission Inference,Observational / network analysis,Rural NC county syphilis outbreaks 1998–2002,Describe sexual network structure and geographic transmission patterns in a rural syphilis outbreak,Case-based partner network analysis combined with GIS; 122 primary/secondary/early latent cases + contacts,"Densely connected networks consistent with STI outbreaks; cases with partners from multiple localities act as spatial bridges; simple network visualization reveals communities needing intervention",Demonstrates that transmission patterns can be inferred from case-level data — directly relevant to the scalability argument for the VCA engine,Surveillance context / background,"Cases who have partners from multiple localities may operate as spatial network bridges, thereby facilitating geographical dissemination",Historical data (1998–2002); rural NC context limits generalizability; partner recall subject to biases,Network structure analysis but no pairwise transmission plausibility scoring per dyad,TRUE,FALSE,FALSE,High,Include,Abstracted,"surveillance;transmission-network;syphilis;cluster-detection;surveillance-context",""
