search_date,database,query_name,exact_query,filters,results_count,citation_key,title,authors,year,journal_or_source,doi_or_url,source_type,domain,study_type,setting,objective,methods_or_approach,key_findings,relevance_to_paper1,manuscript_role,quotable_claim,limitations,gap_left_open,supports_problem_statement,supports_method_framing,supports_interoperability_angle,priority,screening_decision,status,tags,notes
2026-05-31,PubMed,A1-DIS-Systematic-Review,"syphilis DIS disease intervention specialist systematic review partner services effectiveness 2024","English; Humans",1,peterman_2024_systematic_review,Disease Intervention Specialist Activities and Outcomes: A Systematic Review,"Peterman TA et al.",2024,American Journal of Preventive Medicine,PMC11663095,Journal,A — Syphilis/DIS/VCA,Systematic Review,Partner services / DIS outcomes,,,,Anchors the evidence base for DIS effectiveness; positions the need for standardized analytic tools,problem-framing,,,,TRUE,FALSE,FALSE,High,Included,To abstract,"syphilis; partner-services; DIS; background",
2026-05-31,PubMed,A2-DIS-On-Site-Outcomes,"partner notification outcomes disease intervention specialist STD clinic PLOS One 2018","English; Humans",1,hurt_2018_dis_outcomes,On-Site Disease Intervention Specialist Partner Services Outcomes,"Hurt CB et al.",2018,PLOS One,https://doi.org/10.1371/journal.pone.0194041,Journal,A — Syphilis/DIS/VCA,Evaluation,STD clinic / partner notification,,,,Demonstrates variation in DIS-delivered partner notification outcomes; supports need for reproducible analytic approach,problem-framing,,,,TRUE,FALSE,FALSE,High,Included,To abstract,"syphilis; DIS; partner-notification; background",
2026-05-31,"PubMed / CDC Stacks",A3-Partner-Notification-Effectiveness,"effectiveness syphilis partner notification 7 jurisdictions adjusting treatment dates 2022","English; US data",1,peterman_2022_pn_effectiveness,Effectiveness of Partner Notification for Syphilis — Seven US Jurisdictions,"Peterman TA et al.",2022,Sexually Transmitted Diseases,PMID:34310526,Journal,A — Syphilis/DIS/VCA,Evaluation,Multi-jurisdiction partner services,,,,Quantifies PN effectiveness; exposure date adjustments connect directly to the ghosting engine's date-inference logic,problem-framing,,,,TRUE,FALSE,FALSE,High,Included,To abstract,"syphilis; partner-notification; effectiveness; problem-framing",
2026-05-31,NCSDDC Website,A4-VCA-Training,"visual case analysis syphilis source spread ghosting methodology NCSDDC 2022","Grey literature",1,ncsddc_2022_vca_training,Visual Case Analysis: Syphilis Source and Spread Ghosting Methodology,"Fussell E (NCSDDC/NACCHO)",2022,NCSDDC / NACCHO,https://www.naccho.org (archive recommended),Grey lit,A — Syphilis/DIS/VCA,Methods,VCA training / DIS instruction,,,,Primary source for the ghosting methodology operationalized in the engine; defines the 7-step pipeline,background,,,,TRUE,TRUE,FALSE,High,Included,To abstract,"VCA; ghosting; syphilis; source-spread; background; methods-positioning",Contact CDC archives for stable URL; NACCHO VCA chart cited within
2026-05-31,Google Scholar,A5-Changing-Role-DIS,"changing role disease intervention specialist modern public health programs 2019","English",1,cope_2019_changing_role_dis,The Changing Role of Disease Intervention Specialists in Modern Public Health Programs,"Cope AB et al.",2019,Public Health Reports,,Journal,A — Syphilis/DIS/VCA,Commentary,DIS workforce / public health programs,,,,Frames DIS role evolution and workflow burden; supports argument for standardization tools,problem-framing,,,,TRUE,FALSE,FALSE,High,Included,To abstract,"DIS; partner-services; workforce; problem-framing",
2026-05-31,"PubMed / Semantic Scholar",B1-PHI-Yasnoff-2000,"public health informatics definition Yasnoff O'Carroll 2000","English",1,yasnoff_2000_phi_definition,Public Health Informatics: Improving and Transforming Public Health in the Information Age,"Yasnoff WA et al.",2000,Journal of Public Health Management and Practice,PMID:18019962,Journal,B — PHI/Decision Support,Commentary / Framework,Public health informatics,,,,Foundational PHI definition; places the engine within the PHI discipline,methods-positioning,,,,FALSE,TRUE,FALSE,High,Included,To abstract,"public-health-informatics; decision-support; methods-positioning",
2026-05-31,"CDC / MMWR",B2-CDC-MMWR-PHI-Surveillance,"role public health informatics enhancing surveillance MMWR 2012","Grey literature",1,thacker_2012_phi_surveillance,Role of Public Health Informatics in Enhancing Public Health Surveillance,"Thacker SB et al.",2012,MMWR Supplements 61(03):20–24,,Grey lit,B — PHI/Decision Support,Review,Surveillance informatics,,,,Positions computable surveillance logic within the CDC/MMWR evidence base,methods-positioning,,,,FALSE,TRUE,FALSE,Medium,Included,To abstract,"public-health-informatics; surveillance; methods-positioning",
2026-05-31,PLOS Digital Health,B3-Explainability-CDSS,"explainability clinical decision support AI rule-based versus black-box 2022","English",1,amann_2022_explainability_cdss,Explainability for Artificial Intelligence in Healthcare: A Multidisciplinary Perspective,"Amann J et al.",2022,PLOS Digital Health,https://doi.org/10.1371/journal.pdig.0000016,Journal,B — PHI/Decision Support,Review,Clinical decision support / AI explainability,,,,Directly supports the explainability framing of the rule-based engine vs. black-box ML; provides contrast language,methods-positioning,,,,FALSE,TRUE,FALSE,High,Included,To abstract,"explainability; decision-support; rule-based; AI; methods-positioning",
2026-05-31,NCBI Bookshelf,B4-Syphilis-Natural-History,"syphilis natural history incubation primary secondary clinical constants","English; clinical",1,statpearls_syphilis_natural_history,Syphilis (Natural History and Clinical Constants),"StatPearls Authors",2023,StatPearls / NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK534780/,Book/Reference,B — PHI/Decision Support,Reference,Syphilis clinical epidemiology,,,,Grounds the clinical constants used in the engine (incubation period 10–90 days; primary lesion window; secondary window); needed to justify engine parameters,background,,,,FALSE,TRUE,FALSE,Medium,Included,To abstract,"syphilis; natural-history; clinical-constants; background",PMC10211027 for incubation period specifics; supplement with CDC STI Guidelines 2021 (gap item)
2026-05-31,PubMed,C1-Sexual-Networks-NC,"sexual networks surveillance geographical space syphilis outbreaks rural North Carolina 2012","English; Humans",1,doherty_2012_sexual_networks_nc,Sexual Networks Surveillance and Geographical Space during Syphilis Outbreaks in Rural North Carolina,"Doherty IA et al.",2012,Epidemiology,PMID:23007041 PMC4074028,Journal,C — Surveillance/Transmission,Methods / Surveillance,Syphilis outbreak surveillance,,,,Network-level transmission analysis; positions the engine in the surveillance analytics landscape,surveillance-context,,,,FALSE,FALSE,FALSE,High,Included,To abstract,"syphilis; surveillance; transmission-network; social-network; surveillance-context",
